2024-09-19 11:26:39 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 163}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5104, 'curr': 496, 'power': 2531, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2546, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:40 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 163}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5104, 'curr': 496, 'power': 2531, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2538, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:41 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 163}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5104, 'curr': 496, 'power': 2531, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2534, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:42 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 163}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5104, 'curr': 496, 'power': 2531, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2532, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:43 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 163}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5104, 'curr': 496, 'power': 2531, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2531, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:44 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 163}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5104, 'curr': 496, 'power': 2531, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2531, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:45 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 163}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5104, 'curr': 496, 'power': 2531, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2531, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:46 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 163}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5104, 'curr': 496, 'power': 2531, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2531, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:47 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 163}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5104, 'curr': 496, 'power': 2531, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2531, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:48 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 163}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5104, 'curr': 496, 'power': 2531, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2531, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:49 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 163}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5104, 'curr': 496, 'power': 2531, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2531, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:50 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 163}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5104, 'curr': 496, 'power': 2531, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2531, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:51 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 163}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5104, 'curr': 488, 'power': 2531, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2531, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:52 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 163}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5104, 'curr': 496, 'power': 2531, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2531, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:53 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 56, 'power': 325, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 244}, 'POM_5V_GPU': {'volt': 5088, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5088, 'curr': 536, 'power': 2727, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2629, 'name': 'POM_5V_IN'}}
