timestamp,cpu_volt,cpu_curr,cpu_power,cpu_avg_power,gpu_volt,gpu_curr,gpu_power,gpu_avg_power,total_volt,total_curr,total_power,total_avg_power
2024-09-22 13:13:16,5024,528,2652,2703,5024,0,0,0,5032,872,4387,4399
2024-09-22 13:13:17,5024,560,2813,2758,5032,0,0,0,5032,856,4347,4373
2024-09-22 13:13:18,5032,560,2817,2787,5032,0,0,0,5032,856,4307,4340
2024-09-22 13:13:19,5120,256,1310,2048,5120,0,0,0,5120,536,2744,3542
2024-09-22 13:13:20,5016,592,2969,2508,5016,0,0,0,5016,912,4574,4058
2024-09-22 13:13:21,5040,552,2782,2645,5040,0,0,0,5048,824,4125,4091
2024-09-22 13:13:22,5040,552,2782,2713,5040,0,0,0,5056,792,3963,4027
2024-09-22 13:13:23,5024,544,2733,2723,5032,0,0,0,5032,856,4307,4167
2024-09-22 13:13:24,5112,272,1390,2056,5120,0,0,0,5120,536,2744,3455
2024-09-22 13:13:25,5120,232,1187,1621,5128,0,0,0,5136,496,2547,3001
2024-09-22 13:13:26,5000,608,3040,2330,5008,0,0,0,5016,912,4574,3787
2024-09-22 13:13:27,5016,584,2964,2647,5016,0,0,0,5016,912,4574,4180
2024-09-22 13:13:28,5016,608,3049,2848,5024,0,0,0,5024,904,4541,4360
2024-09-22 13:13:29,5000,624,3120,2984,5008,0,0,0,5008,944,4727,4543
2024-09-22 13:13:30,5008,592,2924,2954,5008,0,0,0,5016,928,4654,4598
2024-09-22 13:13:31,5040,544,2741,2847,5040,0,0,0,5048,816,4044,4321
2024-09-22 13:13:32,5016,576,2889,2868,5016,0,0,0,5024,896,4501,4411
2024-09-22 13:13:33,5008,608,3084,2976,5016,0,0,0,5016,912,4574,4492
2024-09-22 13:13:34,5016,576,2929,2952,5016,0,0,0,5016,920,4614,4553
2024-09-22 13:13:35,5016,584,2969,2960,5016,0,0,0,5024,904,4541,4547
2024-09-22 13:13:36,5008,592,2964,2962,5008,0,0,0,5016,920,4614,4580
